hour,pv_kw,P_DAC_kw,P_PEM_kw,P_MeOH_kw,P_grid_kw,P_curt_kw,P_ch_kw,P_dis_kw,z_bat,battery_mode,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,z_MeOH_on,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,2804505.116349491,8526.75158708429,3.2033165782033692,10,0,0,0,0
2,0.0,0,0.0,2.0171742109600643,0.0,0.0,0.0,2.0171742109600643,0,discharge,0,0.0,0.14499999999999993,0.43499999999999983,15.196375621546048,1,2803965.116349491,6906.751587084291,3.2033165782033692,10,0,0,0,0
3,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,2803443.116349491,5340.751587084292,1.0799753035085646,10,0,0,0,0
4,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,2802903.116349491,3720.7515870842917,1.0799753035085646,10,0,0,0,0
5,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,2802867.116349491,3612.7515870842917,0.9335379742192678,10,0,0,0,0
6,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,2802831.116349491,3504.7515870842917,0.7871006449299709,10,0,0,0,0
7,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,2802291.116349491,1884.7515870842917,0.7871006449299709,10,0,0,0,0
8,6.7231819999999995,0,4.636450057627519,2.0867319423724813,0.0,0.0,0.0,0.0,1,idle,0,0.01134795468650092,0.15,0.45,15.720388574013159,1,2802255.116349491,1776.7515870842917,0.6406633156406739,10,0,0,0,0
9,435.537175,0,411.1944820576275,2.0867319423724813,0.0,22.255961000000013,0.0,0.0,1,idle,0,1.0064200609802072,0.15,0.45,15.720388574013159,1,2801715.116349491,197.60422395569503,0.6406633156406739,10,0,0,0,0
10,634.747145,0,411.1944820576275,2.0867319423724813,0.0,221.46593100000004,0.0,0.0,0,idle,0,1.0064200609802072,0.15,0.45,15.720388574013159,1,2801175.116349491,2200.7164434844412,0.6406633156406739,10,0,0,0,0
11,769.296847,0,411.1944820576275,2.0867319423724813,0.0,356.015633,0.0,0.0,1,idle,0,1.0064200609802072,0.15,0.45,15.720388574013159,1,2800635.116349491,4203.828663013188,0.6406633156406739,10,0,0,0,0
12,802.24751,0,411.1944820576275,2.0867319423724813,0.0,388.96629600000006,0.0,0.0,0,idle,0,1.0064200609802072,0.15,0.45,15.720388574013159,1,2800095.116349491,6206.940882541934,0.6406633156406739,10,0,0,0,0
13,797.275098,0,411.1944820576275,2.0867319423724813,0.0,383.993884,0.0,0.0,1,idle,0,1.0064200609802072,0.15,0.45,15.720388574013159,1,2799555.116349491,8210.05310207068,0.6406633156406739,10,0,0,0,0
14,727.208754,0,411.1944820576275,2.0867319423724813,0.0,308.53248049986803,5.395059500131991,0.0,1,charge,0,1.0064200609802072,0.15,0.45,15.720388574013159,1,2799015.116349491,10213.165321599427,0.6406633156406739,10,0,0,0,0
15,523.51582,0,411.1944820576275,2.0867319423724813,0.0,110.23460599999999,0.0,0.0,1,idle,0,1.0064200609802072,0.15,0.45,15.720388574013159,1,2798475.116349491,12216.277541128173,5.765969840766065,10,0,0,0,0
16,306.28221,0,304.19547805762755,2.0867319423724813,0.0,0.0,0.0,0.0,1,idle,0,0.7445343868543333,0.15,0.45,15.720388574013159,1,2797935.116349491,14219.389760656919,5.765969840766065,10,0,0,0,0
17,49.72355399999999,0,47.63682205762751,2.0867319423724813,0.0,0.0,0.0,0.0,1,idle,0,0.11659362042076665,0.15,0.45,15.720388574013159,1,2797395.116349491,15279.713553332518,5.765969840766065,10,0,0,0,0
18,0.0,0,0.0,2.0867319423724813,1.8386760267822078,0.0,0.0,0.24805591559027343,0,discharge,0,0.0,0.15,0.45,15.720388574013159,1,2796855.116349491,14079.450586847277,5.765969840766065,10,0,0,0,0
19,0.0,0,0.0,1.5604451011325426,0.0,0.0,0.0,1.5604451011325426,0,discharge,0,0.0,0.1121690622628618,0.3365071867885854,11.755608298365756,1,2796315.116349491,12459.450586847277,5.50485835067104,10,0,0,0,0
20,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,2795911.3077253443,11248.02471440837,3.862284560005206,10,0,0,0,0
21,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,2795371.3077253443,9628.02471440837,3.862284560005206,10,0,0,0,0
22,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,2795335.3077253443,9520.02471440837,3.715847230715909,10,0,0,0,0
23,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,2794795.3077253443,7900.02471440837,3.715847230715909,10,0,0,0,0
24,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,2794759.3077253443,7792.02471440837,3.5694099014266123,10,0,0,0,0
