hour,pv_kw,P_DAC_kw,P_PEM_kw,P_MeOH_kw,P_grid_kw,P_curt_kw,P_ch_kw,P_dis_kw,z_bat,battery_mode,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,z_MeOH_on,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,3118784.310425837,11354.786369280584,2.2443082904459914,10,0,0,0,0
2,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,3118244.310425837,9734.786369280584,2.2443082904459914,10,0,0,0,0
3,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,3117704.310425837,8114.786369280584,2.2443082904459914,10,0,0,0,0
4,0.0,0,0.0,1.5665588379141218,0.0,0.0,0.0,1.5665588379141215,0,discharge,0,0.0,0.11260853438604894,0.3378256031581468,11.801666115325412,1,3117164.310425837,6494.786369280584,2.2443082904459914,10,0,0,0,0
5,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,3116758.9197020475,5278.614197911255,0.5952989873784953,10,0,0,0,0
6,0.0,0,0.0,2.0867319423724813,2.0867319423724813,0.0,0.0,0.0,0,idle,0,0.0,0.15,0.45,15.720388574013159,1,3116218.9197020475,3658.6141979112554,0.5952989873784953,10,0,0,0,0
7,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,3115678.9197020475,2038.6141979112554,0.5952989873784953,10,0,0,0,0
8,6.7231819999999995,0,4.636450057627519,2.0867319423724813,0.0,0.0,0.0,0.0,1,idle,0,0.01134795468650092,0.15,0.45,15.720388574013159,1,3115642.9197020475,1930.6141979112554,0.4488616580891983,10,0,0,0,0
9,435.537175,0,433.4504430576275,2.0867319423724813,0.0,0.0,0.0,0.0,1,idle,0,1.060892692798389,0.15,0.45,15.720388574013159,1,3115102.9197020475,351.4668347826587,0.4488616580891983,10,0,0,0,0
10,634.747145,0,511.1632044105561,2.0867319423724813,0.0,121.49720864707149,0.0,0.0,1,idle,0,1.2510987520538088,0.15,0.45,15.720388574013159,1,3114562.9197020475,2550.6805288568594,0.4488616580891983,10,0,0,0,0
11,769.296847,0,511.1632044105561,2.0867319423724813,0.0,256.0469106470714,0.0,0.0,0,idle,0,1.2510987520538088,0.15,0.45,15.720388574013159,1,3114022.9197020475,5434.63603625057,0.4488616580891983,10,0,0,0,0
12,802.24751,0,511.1632044105561,2.0867319423724813,0.0,288.9975736470715,0.0,0.0,1,idle,0,1.2510987520538088,0.15,0.45,15.720388574013159,1,3113482.9197020475,8318.591543644281,0.4488616580891982,10,0,0,0,0
13,797.275098,0,511.1632044105561,2.0867319423724813,0.0,284.0251616470714,0.0,0.0,1,idle,0,1.2510987520538088,0.15,0.45,15.720388574013159,1,3112942.9197020475,11202.547051037993,0.4488616580891982,10,0,0,0,0
14,727.208754,0,511.1632044105561,2.0867319423724813,0.0,213.95881764707144,0.0,0.0,0,idle,0,1.2510987520538088,0.15,0.45,15.720388574013159,1,3112402.9197020475,14086.502558431705,0.4488616580891982,10,0,0,0,0
