hour,pv_kw,P_DAC_kw,P_PEM_kw,P_MeOH_kw,P_grid_kw,P_curt_kw,P_ch_kw,P_dis_kw,z_bat,battery_mode,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,z_MeOH_on,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0.0,0.0,0.0,1.349366621142824,1.2693530002027584,0.0,0.0,0.08001362094006559,0,discharge,0.0,0.0,0.09699616374362967,0.290988491230889,10.165449228256435,1,2107522.203247465,3274.705931559797,1.2035610498540235,10.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0.0,0.0,0.01,0.03,1.0480259049342107,1,2107173.0170579883,2227.1473631285967,1.119336185706586,10.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0.0,0.0,0.01,0.03,1.0480259049342107,1,2107137.0170579883,2119.1473631285967,0.9728988564172891,10.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0.0,0.0,0.01,0.03,1.0480259049342107,1,2107101.0170579883,2011.1473631285967,0.8264615271279923,10.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0.0,0.0,0.01,0.03,1.0480259049342107,1,2107065.0170579883,1903.1473631285967,0.6800241978386954,10.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0.0,0.0,0.01,0.03,1.0480259049342107,1,2107029.0170579883,1795.1473631285967,0.5335868685493985,10.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0.0,0.0,0.01,0.03,1.0480259049342107,1,2106993.0170579883,1687.1473631285967,0.38714953926010165,10.0,0.0,0.0,0.0,0.0
8,6.7231819999999995,0.0,4.636450057627519,2.0867319423724813,0.0,0.0,0.0,0.0,1,idle,0.0,0.01134795468650092,0.15,0.44999999999999996,15.720388574013159,1,2106957.0170579883,1579.1473631285967,0.2407122099708047,10.0,0.0,0.0,0.0,0.0
9,435.537175,0.0,263.1882400576272,2.0867319423724813,0.0,170.26220300000034,0.0,0.0,1,idle,0.0,0.6441670211200666,0.15,0.44999999999999996,15.720388574013159,1,2106417.0170579883,0.0,0.2407122099708047,10.0,0.0,0.0,0.0,0.0
10,634.747145,0.0,263.1882400576272,2.0867319423724813,-5.684341886080802e-14,369.47217300000034,2.4069635173873394e-13,2.1738166822160565e-13,1,idle,0.0,0.6441670211200666,0.15,0.44999999999999996,15.720388574013159,1,2105877.0170579883,699.0012760322397,0.2407122099708047,10.0,0.0,0.0,0.0,0.0
