scenario_price_yuan_per_kg,annual_methanol_kg,annual_profit_yuan,lcom_yuan_per_kg,annual_grid_kWh,annualized_capex_yuan,grid_cost_yuan,methanol_revenue_yuan,Ndac,C_PEM,C_batE_kWh,C_batP_kW,C_CO2_mol,C_H2_mol
2.0,33858.468442209465,-179793.14030151878,7.310138011954847,634.0088898776639,247097.97140754855,412.1057784204815,67716.93688441091,10.0,100.0,2.1965599393394535,1.84973468575954,2326096.822952148,1685.296698947398
3.0,61353.82956187228,-129352.96838216839,5.108311238367634,210.95204118801266,313277.3382410323,137.1188267722085,184061.4886855996,10.0,219.323533381356,2.407122099708047,2.027050189227829,4215044.40649493,6549.411863119594
4.0,81644.2781237419,-55530.79437210632,4.680155372162307,1439.4001114519474,381172.2967947004,935.6100724437703,326577.1124950288,10.0,342.6620683813563,6.4066331564067385,5.498210256410357,5609010.232698982,17053.50317416858
6.0,90793.52081190399,119968.74236171902,4.678664057865232,2696.023743321026,423039.96707653545,1752.415433158702,544761.1248714054,10.0,425.96933700879674,4.488616580891983,3.95288205125578,6237568.620851674,22709.572738561168
