hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,90720,126332.863008948,19.2198994692202,10,0,0,0,0
2,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,90180,124712.863008948,17.0233395298808,10,0,0,0,0
3,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,89640,123092.863008948,14.8267795905413,10,0,0,0,0
4,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,89100,121472.863008948,12.6302196512019,10,0,0,0,0
5,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,88560,119852.863008948,10.4336597118624,10,0,0,0,0
6,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,88020,118232.863008948,8.23709977252295,10,0,0,0,0
7,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,87480,116612.863008948,6.0405398331835,10,0,0,0,0
8,6.723182,0,4.63645005762752,2.08673194237248,0,0,0,0,0,0.0113479546865009,0.15,0.45,15.7203885740132,86940,114992.863008948,3.84397989384405,10,0,0,0,0
9,435.537175,0,387.213536857547,2.08673194237248,0,46.2369062000808,0,0,0,0.947725439861128,0.15,0.45,15.7203885740132,86400,113413.715645819,3.84397989384405,10,0,0,0,0
10,634.747145,0,387.213536857547,2.08673194237248,0,245.446876200081,0,0,0,0.947725439861128,0.15,0.45,15.7203885740132,85860,115205.527229319,3.84397989384405,10,0,0,0,0
11,769.296847,0,387.213536857547,2.08673194237248,0,379.996578200081,0,0,0,0.947725439861128,0.15,0.45,15.7203885740132,85320,116997.338812819,3.84397989384405,10,0,0,0,0
12,802.24751,0,387.213536857547,2.08673194237248,0,412.947241200081,0,0,0,0.947725439861128,0.15,0.45,15.7203885740132,84780,118789.150396319,3.84397989384405,10,0,0,0,0
13,797.275098,0,387.213536857547,2.08673194237248,0,375.604472199289,32.370357000792,0,0,0.947725439861128,0.15,0.45,15.7203885740132,84240,120580.961979819,3.84397989384405,10,0,0,0,0
14,727.208754,0,387.213536857547,2.08673194237248,0,337.908485200081,0,0,0,0.947725439861128,0.15,0.45,15.7203885740132,83700,122372.773563319,34.5958190445964,10,0,0,0,0
15,523.51582,0,387.213536857547,2.08673194237248,0,134.215551200081,0,0,0,0.947725439861128,0.15,0.45,15.7203885740132,83160,124164.585146819,34.5958190445964,10,0,0,0,0
16,306.28221,0,304.195478057628,2.08673194237248,0,0,0,0,0,0.744534386854333,0.15,0.45,15.7203885740132,82620,125956.396730319,34.5958190445964,10,0,0,0,0
17,49.723554,0,47.6368220576275,2.08673194237248,0,0,0,0,0,0.116593620420767,0.15,0.45,15.7203885740132,82080,127016.720522995,34.5958190445964,10,0,0,0,0
18,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,81540,125816.45755651,34.5958190445964,10,0,0,0,0
19,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,81000,124196.45755651,32.399259105257,10,0,0,0,0
20,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,80460,122576.45755651,30.2026991659175,10,0,0,0,0
