hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3118784.31042584,11354.7863692806,2.24430829044599,10,0,0,0,0
2,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3118244.31042584,9734.78636928058,2.24430829044599,10,0,0,0,0
3,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3117704.31042584,8114.78636928058,2.24430829044599,10,0,0,0,0
4,0,0,0,1.56655883791412,0,0,0,1.56655883791412,0,0,0.112608534386049,0.337825603158147,11.8016661153254,3117164.31042584,6494.78636928058,2.24430829044599,10,0,0,0,0
5,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3116758.91970205,5278.61419791126,0.595298987378495,10,0,0,0,0
6,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3116218.91970205,3658.61419791126,0.595298987378495,10,0,0,0,0
7,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3115678.91970205,2038.61419791126,0.595298987378495,10,0,0,0,0
8,6.723182,0,4.63645005762752,2.08673194237248,0,0,0,0,0,0.0113479546865009,0.15,0.45,15.7203885740132,3115642.91970205,1930.61419791126,0.448861658089198,10,0,0,0,0
9,435.537175,0,433.450443057628,2.08673194237248,0,0,0,0,0,1.06089269279839,0.15,0.45,15.7203885740132,3115102.91970205,351.466834782659,0.448861658089198,10,0,0,0,0
10,634.747145,0,511.163204410556,2.08673194237248,0,121.497208647071,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3114562.91970205,2550.68052885686,0.448861658089198,10,0,0,0,0
11,769.296847,0,511.163204410556,2.08673194237248,0,256.046910647071,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3114022.91970205,5434.63603625057,0.448861658089198,10,0,0,0,0
12,802.24751,0,511.163204410556,2.08673194237248,0,288.997573647071,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3113482.91970205,8318.59154364428,0.448861658089198,10,0,0,0,0
13,797.275098,0,511.163204410556,2.08673194237248,0,284.025161647071,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3112942.91970205,11202.547051038,0.448861658089198,10,0,0,0,0
14,727.208754,0,511.163204410556,2.08673194237248,0,213.958817647071,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3112402.91970205,14086.5025584317,0.448861658089198,10,0,0,0,0
15,523.51582,0,511.163204410556,2.08673194237248,0,6.48599600000447,3.77988764706693,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3111862.91970205,16970.4580658254,0.448861658089198,10,0,0,0,0
16,306.28221,0,304.195478057628,2.08673194237248,0,0,0,0,0,0.744534386854333,0.15,0.45,15.7203885740132,3111322.91970205,19854.4135732191,4.03975492280278,10,0,0,0,0
17,49.723554,0,47.6368220576275,2.08673194237248,0,0,0,0,0,0.116593620420767,0.15,0.45,15.7203885740132,3110782.91970205,20914.7373658947,4.03975492280278,10,0,0,0,0
18,0,0,0,2.08673194237248,0.0754962609834573,0,0,2.01123568138902,0,0,0.15,0.45,15.7203885740132,3110242.91970205,19714.4743994095,4.03975492280278,10,0,0,0,0
19,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3109702.91970205,18094.4743994095,1.92266473186697,10,0,0,0,0
20,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3109162.91970205,16474.4743994095,1.92266473186697,10,0,0,0,0
21,0,0,0,1.12188199443922,0,0,0,1.12188199443922,0,0,0.0806439465217351,0.241931839565205,8.45169450309076,3108622.91970205,14854.4743994095,1.92266473186697,10,0,0,0,0
22,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3108332.60149457,13983.5197769748,0.741736316667792,10,0,0,0,0
23,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3107792.60149457,12363.5197769748,0.741736316667792,10,0,0,0,0
24,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3107252.60149457,10743.5197769748,0.741736316667792,10,0,0,0,0
25,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3106712.60149457,9123.51977697475,0.741736316667792,10,0,0,0,0
26,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3106676.60149457,9015.51977697475,0.595298987378495,10,0,0,0,0
27,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3106136.60149457,7395.51977697475,0.595298987378495,10,0,0,0,0
28,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3105596.60149457,5775.51977697475,0.595298987378495,10,0,0,0,0
29,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3105056.60149457,4155.51977697475,0.595298987378495,10,0,0,0,0
30,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3105020.60149457,4047.51977697475,0.448861658089198,10,0,0,0,0
31,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3104480.60149457,2427.51977697475,0.448861658089198,10,0,0,0,0
32,94.296789,0,92.2100570576275,2.08673194237248,0,0,0,0,0,0.225688950840347,0.15,0.45,15.7203885740132,3103940.60149457,807.51977697475,0.448861658089198,10,0,0,0,0
33,367.670038,0,365.583306057628,2.08673194237248,0,0,0,0,0,0.894784315525662,0.15,0.45,15.7203885740132,3103400.60149457,0,0.448861658089198,10,0,0,0,0
34,564.212493,0,511.163204410556,2.08673194237248,0,50.9625566470714,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3102860.60149457,1601.22353589238,0.448861658089198,10,0,0,0,0
35,695.647415,0,511.163204410556,2.08673194237248,0,178.617591000005,3.77988764706693,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3102320.60149457,4485.17904328609,0.448861658089198,10,0,0,0,0
36,709.344833,0,511.163204410556,2.08673194237248,0,199.506245248549,0,3.41134860147791,0,1.25109875205381,0.15,0.45,15.7203885740132,3101780.60149457,7369.1345506798,4.03975492280278,10,0,0,0,0
37,702.324907,0,511.163204410556,2.08673194237248,0,185.295083000005,3.77988764706693,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3101240.60149457,10253.0900580735,0.448861658089198,10,0,0,0,0
38,631.629781,0,511.163204410556,2.08673194237248,0,118.379844647071,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3100700.60149457,13137.0455654672,4.03975492280278,10,0,0,0,0
39,477.337405,0,475.250673057628,2.08673194237248,0,0,0,0,0,1.16320094804314,0.15,0.45,15.7203885740132,3100160.60149457,16021.0010728609,4.03975492280278,10,0,0,0,0
40,278.930796,0,276.844064057628,2.08673194237248,0,0,0,0,0,0.677590366574613,0.15,0.45,15.7203885740132,3099620.60149457,18588.5244858163,4.03975492280278,10,0,0,0,0
41,44.133485,0,42.0467530576275,2.08673194237248,0,0,0,0,0,0.10291163335783,0.15,0.45,15.7203885740132,3099080.60149457,19407.8498054849,4.03975492280278,10,0,0,0,0
42,0,0,0,0.350808419331602,0,0,0,0.350808419331602,0,0,0.0252170687720979,0.0756512063162937,2.64281413196661,3098540.60149457,18158.3316855731,4.03975492280278,10,0,0,0,0
43,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,3098449.82004699,17885.9873428344,3.67048290245373,10,0,0,0,0
44,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3097909.82004699,16265.9873428344,1.47392296311428,10,0,0,0,0
45,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3097873.82004699,16157.9873428344,1.32748563382498,10,0,0,0,0
46,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3097333.82004699,14537.9873428344,1.32748563382498,10,0,0,0,0
47,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3097297.82004699,14429.9873428344,1.18104830453568,10,0,0,0,0
48,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3096757.82004699,12809.9873428344,1.18104830453568,10,0,0,0,0
49,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3096721.82004699,12701.9873428344,1.03461097524639,10,0,0,0,0
50,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3096181.82004699,11081.9873428344,1.03461097524639,10,0,0,0,0
51,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3096145.82004699,10973.9873428344,0.888173645957089,10,0,0,0,0
52,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3095605.82004699,9353.9873428344,0.888173645957089,10,0,0,0,0
53,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3095569.82004699,9245.9873428344,0.741736316667792,10,0,0,0,0
54,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3095029.82004699,7625.9873428344,0.741736316667792,10,0,0,0,0
55,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3094993.82004699,7517.9873428344,0.595298987378495,10,0,0,0,0
56,50.207656,0,48.1209240576275,2.08673194237248,0,0,0,0,0,0.117778485455732,0.15,0.45,15.7203885740132,3094957.82004699,7409.9873428344,0.448861658089198,10,0,0,0,0
57,256.2683,0,254.181568057628,2.08673194237248,0,0,0,0,0,0.622122719022165,0.15,0.45,15.7203885740132,3094417.82004699,6213.98989047503,0.448861658089198,10,0,0,0,0
58,121.454649,0,119.367917057628,2.08673194237248,0,0,0,0,0,0.292159237553634,0.15,0.45,15.7203885740132,3093877.82004699,6833.63167895483,0.448861658089198,10,0,0,0,0
59,113.252029,0,111.165297057628,2.08673194237248,0,0,0,0,0,0.272082894896291,0.15,0.45,15.7203885740132,3093337.82004699,6265.40493414791,0.448861658089198,10,0,0,0,0
60,342.2319,0,340.145168057628,2.08673194237248,0,0,0,0,0,0.832523138602585,0.15,0.45,15.7203885740132,3092797.82004699,5624.90335577456,0.448861658089198,10,0,0,0,0
61,608.877625,0,511.163204410556,2.08673194237248,0,95.6276886470714,0,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3092257.82004699,7001.98665474386,0.448861658089198,10,0,0,0,0
62,564.579275,0,511.163204410556,2.08673194237248,0,47.5494510000046,3.77988764706693,0,0,1.25109875205381,0.15,0.45,15.7203885740132,3091717.82004699,9885.94216213757,0.448861658089198,10,0,0,0,0
63,428.768173,0,426.681441057628,2.08673194237248,0,0,0,0,0,1.0443252053858,0.15,0.45,15.7203885740132,3091177.82004699,12769.8976695313,4.03975492280278,10,0,0,0,0
64,269.143984,0,267.057252057628,2.08673194237248,0,0,0,0,0,0.653636630910277,0.15,0.45,15.7203885740132,3090637.82004699,14909.4684089202,4.03975492280278,10,0,0,0,0
65,54.667576,0,52.5808440576275,2.08673194237248,0,0,0,0,0,0.12869437356762,0.15,0.45,15.7203885740132,3090097.82004699,15642.5602801972,4.03975492280278,10,0,0,0,0
66,0,0,0,2.08673194237248,0.879925401659253,0,0,1.20680654071323,0,0,0.15,0.45,15.7203885740132,3089557.82004699,14485.8600250406,4.03975492280278,10,0,0,0,0
67,0,0,0,1.23073382099085,0,0,0,1.23073382099085,0,0,0.0884685135641995,0.265405540692598,9.27172939863047,3089017.82004699,12865.8600250406,2.76943224836781,10,0,0,0,0
68,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3088699.33339816,11910.4000785472,1.47392296311428,10,0,0,0,0
69,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3088159.33339816,10290.4000785472,1.47392296311428,10,0,0,0,0
70,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3088123.33339816,10182.4000785472,1.32748563382498,10,0,0,0,0
71,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3087583.33339816,8562.40007854725,1.32748563382498,10,0,0,0,0
72,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,3087547.33339816,8454.40007854725,1.18104830453568,10,0,0,0,0
73,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3087007.33339816,6834.40007854725,1.18104830453568,10,0,0,0,0
74,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,3086971.33339816,6726.40007854725,1.03461097524639,10,0,0,0,0
