hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,3600,27.1342569193685,3627.13425691937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,25000000,13794.127526759,0,10,0,0,0,0
2,0,0,200.590151370263,0.139115462824833,200.729266833088,0,0,0,0,0.490954915941203,0.01,0.03,1.04802590493421,24993471.4700364,25928.8173561296,0,10,0,0,0,0
3,0,0,1377.19098857143,27.1342569193687,1404.3252454908,0,0,0,0,3.37074717482517,1.81348054545455,5.44044163636364,201.014422267641,24993435.4700364,27588.2550535179,0,10,0,0,0,0
4,0,0,0,27.1342569193686,27.1342569193686,0,0,0,0,0,1.81348054545455,5.44044163636364,201.014422267641,24986906.9400727,20137.3549919795,0,10,0,0,0,0
5,0,0,3600,27.1342569193685,3627.13425691937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,24980378.4101091,551.765101070358,0,10,0,0,0,0
6,0,0,845.618022857143,27.1342569193687,872.752279776512,0,0,0,0,2.06969446153846,1.81348054545455,5.44044163636364,201.014422267641,24973849.8801455,12686.454930441,0,10,0,0,0,0
7,0,0,3600,27.1342569193685,3627.13425691937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,24967321.3501818,551.765101070358,0,10,0,0,0,0
8,6.723182,0,3600,27.1342569193687,3620.41107491937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,24960792.8202182,12686.454930441,0,10,0,0,0,0
9,435.537175,0,0,27.1342569193686,0,408.402918080631,0,0,0,0,1.81348054545455,5.44044163636364,201.014422267641,24954264.2902546,24821.1447598116,0,10,0,0,0,0
10,634.747145,0,1691.23604571428,27.1342569193687,1083.62315763365,0,0,0,0,4.13938892307692,1.81348054545455,5.44044163636364,201.014422267641,24947735.7602909,5235.55486890254,0,10,0,0,0,0
11,769.296847,0,12.257142857143,0.139115462824856,0,756.900588680032,0,0,0,0.0300000000000003,0.0100000000000001,0.0300000000000003,1.04802590493422,24941207.2303273,551.765101070358,0,10,0,0,0,0
12,802.24751,0,3600,27.1342569193688,2824.88674691937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,24941171.2303273,551.765101070358,0,10,0,0,0,0
13,797.275098,0,845.618022857142,27.1342569193686,75.477181776511,0,0,0,0,2.06969446153846,1.81348054545455,5.44044163636364,201.014422267641,24934642.7003636,12686.454930441,0,10,0,0,0,0
14,727.208754,0,2222.80901142857,27.1342569193687,1522.73451434794,0,0,0,0,5.44044163636364,1.81348054545455,5.44044163636364,201.014422267641,24928114.1704,551.765101070358,0,10,0,0,0,0
15,523.51582,0,3068.42703428571,27.1342569193688,2572.04547120508,0,0,0,0,7.51013609790209,1.81348054545455,5.44044163636364,201.014422267641,24921585.6404364,551.765101070358,0,10,0,0,0,0
16,306.28221,0,3600,27.1342569193686,3320.85204691937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,24915057.1104727,8002.66516260881,0,10,0,0,0,0
17,49.723554,0,0,27.1342569193686,0,22.5892970806314,0,0,0,0,1.81348054545455,5.44044163636364,201.014422267641,24908528.5805091,20137.3549919794,0,10,0,0,0,0
18,0,0,2235.06615428571,0.139115462824975,2235.20526974854,0,0,0,0,5.47044163636364,0.01,0.03,1.04802590493421,24902000.0505455,551.765101070359,0,10,0,0,0,0
19,0,0,0,27.1342569193686,27.1342569193686,0,0,0,0,0,1.81348054545455,5.44044163636364,201.014422267641,24901964.0505455,20137.3549919795,0,10,0,0,0,0
20,0,0,3600,27.1342569193685,3627.13425691937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,24895435.5205818,551.765101070358,0,10,0,0,0,0
21,0,0,2536.85406857143,27.1342569193685,2563.9883254908,0,0,0,0,6.20908338461539,1.81348054545455,5.44044163636364,201.014422267641,24888906.9906182,12686.454930441,0,10,0,0,0,0
22,0,0,3600,27.1342569193685,3627.13425691937,0,0,0,0,8.81118881118881,1.81348054545455,5.44044163636364,201.014422267641,24882378.4606545,15453.5652241473,0,10,0,0,0,0
23,0,0,2222.80901142857,27.1342569193685,2249.94326834794,0,0,0,0,5.44044163636364,1.81348054545455,5.44044163636364,201.014422267641,24875849.9306909,27588.2550535179,0,10,0,0,0,0
24,0,0,1377.19098857143,27.1342569193687,1404.3252454908,0,0,0,0,3.37074717482517,1.81348054545455,5.44044163636364,201.014422267641,24869321.4007273,27588.2550535179,0,10,0,0,0,0
25,0,0,0,27.1342569193686,27.1342569193686,0,0,0,0,0,1.81348054545455,5.44044163636364,201.014422267641,24862792.8707636,20137.3549919794,0,10,0,0,0,0
26,0,0,2235.06615428571,27.1342569193685,2262.20041120508,0,0,0,0,5.47044163636364,1.81348054545455,5.44044163636364,201.014422267641,24856264.3408,551.765101070358,0,10,0,0,0,0
27,0,0,0,0.139115462824832,0.139115462824832,0,0,0,0,0,0.01,0.03,1.04802590493421,24849735.8108364,659.765101070358,0,10,0,0,0,0
