hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,6283710.09,18830347.59375,4486.02757842896,10,0,0,0,0
2,0,0,0,140.210892200017,0,0,0,140.210892200017,0,0,9.974143,29.922429,1032.268536,6247803.1752,18722626.84935,4338.43716558685,10,0,0,0,0
3,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,6211896.2604,18614906.10495,4190.84675274473,10,0,0,0,0
4,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,6175989.3456,18507185.36055,4043.25633990262,10,0,0,0,0
5,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,6140082.4308,18399464.61615,3895.66592706052,10,0,0,0,0
6,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,6104175.516,18291743.87175,3748.07551421841,10,0,0,0,0
7,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,6068268.6012,18184023.12735,3600.48510137631,10,0,0,0,0
8,6.723182,0,0,140.2108922,0,0,0,133.4877102,0,0,9.974143,29.922429,1032.268536,6032361.6864,18076302.38295,3452.8946885342,10,0,0,0,0
9,435.537175,0,0,140.2108922,0,0,295.3262828,0,0,0,9.974143,29.922429,1032.268536,5996454.7716,17968581.63855,3312.38130937631,10,0,0,0,0
10,634.747145,0,0,140.2108922,0,0,494.5362528,0,0,0,9.974143,29.922429,1032.268536,5960547.8568,17860860.89415,3592.94127803631,10,0,0,0,0
11,769.296847,0,0,140.2108922,0,0,629.0859548,0,0,0,9.974143,29.922429,1032.268536,5924640.942,17753140.14975,4062.75071819631,10,0,0,0,0
12,802.24751,0,0,140.2108922,0,0,662.0366178,0,0,0,9.974143,29.922429,1032.268536,5888734.0272,17645419.40535,4660.38237525631,10,0,0,0,0
13,797.275098,0,0,140.2108922,0,0,657.0642058,0,0,0,9.974143,29.922429,1032.268536,5852827.1124,17537698.66095,5289.31716216631,10,0,0,0,0
14,727.208754,0,0,140.2108922,0,0,586.9978618,0,0,0,9.974143,29.922429,1032.268536,5816920.1976,17429977.91655,5913.52815767631,10,0,0,0,0
15,523.51582,0,0,140.2108922,0,0,383.3049278,0,0,0,9.974143,29.922429,1032.268536,5781013.2828,17322257.17215,6471.17612638631,10,0,0,0,0
16,306.28221,0,0,140.2108922,0,0,166.0713178,0,0,0,9.974143,29.922429,1032.268536,5745106.368,17214536.42775,6835.31580779631,10,0,0,0,0
17,49.723554,0,0,140.2108922,0,0,0,90.4873382,0,0,9.974143,29.922429,1032.268536,5709199.4532,17106815.68335,6993.08355970631,10,0,0,0,0
18,0,0,0,140.210892199999,0,0,0,140.210892199999,0,0,9.974143,29.922429,1032.268536,5673292.5384,16999094.93895,6897.8337300221,10,0,0,0,0
19,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5637385.6236,16891374.19455,6750.24331717999,10,0,0,0,0
20,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5601478.7088,16783653.45015,6602.65290433789,10,0,0,0,0
21,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5565571.794,16675932.70575,6455.06249149578,10,0,0,0,0
22,0,0,0,140.210892199999,0,0,0,140.210892199999,0,0,9.974143,29.922429,1032.268536,5529664.8792,16568211.96135,6307.47207865368,10,0,0,0,0
23,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5493757.9644,16460491.21695,6159.88166581157,10,0,0,0,0
24,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5457851.0496,16352770.47255,6012.29125296947,10,0,0,0,0
25,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5421944.1348,16245049.72815,5864.70084012736,10,0,0,0,0
