hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6283710.09,13300081.318951,0,10,0,0,0,0
2,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6247803.1752,13224080.8542713,0,10,0,0,0,0
3,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6211896.2604,13148080.3895916,0,10,0,0,0,0
4,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6175989.3456,13072079.9249119,0,10,0,0,0,0
5,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6140082.4308,12996079.4602322,0,10,0,0,0,0
6,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6104175.516,12920078.9955524,0,10,0,0,0,0
7,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6068268.6012,12844078.5308727,0,10,0,0,0,0
8,6.723182,0,3600,140.2108922,3733.4877102,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,6032361.6864,12768078.066193,0,10,0,0,0,0
9,435.537175,0,3600,140.2108922,3304.6737172,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5996454.7716,12692077.6015133,0,10,0,0,0,0
10,634.747145,0,3600,140.2108922,3105.4637472,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5960547.8568,12616077.1368336,0,10,0,0,0,0
11,769.296847,0,3600,140.2108922,2970.9140452,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5924640.942,12540076.6721538,0,10,0,0,0,0
12,802.24751,0,3600,140.2108922,2937.9633822,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5888734.0272,12464076.2074741,0,10,0,0,0,0
13,797.275098,0,3600,140.2108922,2942.9357942,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5852827.1124,12388075.7427944,0,10,0,0,0,0
14,727.208754,0,3600,140.2108922,3013.0021382,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5816920.1976,12312075.2781147,0,10,0,0,0,0
15,523.51582,0,3600,140.2108922,3216.6950722,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5781013.2828,12236074.813435,0,10,0,0,0,0
16,306.28221,0,3600,140.2108922,3433.9286822,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5745106.368,12160074.3487552,0,10,0,0,0,0
17,49.723554,0,3600,140.2108922,3690.4873382,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5709199.4532,12084073.8840755,0,10,0,0,0,0
18,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5673292.5384,12008073.4193958,0,10,0,0,0,0
19,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5637385.6236,11932072.9547161,0,10,0,0,0,0
20,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5601478.7088,11856072.4900364,0,10,0,0,0,0
21,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5565571.794,11780072.0253566,0,10,0,0,0,0
22,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5529664.8792,11704071.5606769,0,10,0,0,0,0
23,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5493757.9644,11628071.0959972,0,10,0,0,0,0
24,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5457851.0496,11552070.6313175,0,10,0,0,0,0
25,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5421944.1348,11476070.1666378,0,10,0,0,0,0
26,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5386037.22,11400069.701958,0,10,0,0,0,0
27,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5350130.3052,11324069.2372783,0,10,0,0,0,0
28,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5314223.3904,11248068.7725986,0,10,0,0,0,0
29,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5278316.4756,11172068.3079189,0,10,0,0,0,0
30,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5242409.5608,11096067.8432392,0,10,0,0,0,0
31,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5206502.646,11020067.3785594,0,10,0,0,0,0
32,94.296789,0,3600,140.2108922,3645.9141032,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5170595.7312,10944066.9138797,0,10,0,0,0,0
33,367.670038,0,3600,140.2108922,3372.5408542,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5134688.8164,10868066.4492,0,10,0,0,0,0
34,564.212493,0,3600,140.2108922,3175.9983992,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5098781.9016,10792065.9845203,0,10,0,0,0,0
35,695.647415,0,3600,140.2108922,3044.5634772,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5062874.9868,10716065.5198406,0,10,0,0,0,0
36,709.344833,0,3600,140.2108922,3030.8660592,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,5026968.072,10640065.0551608,0,10,0,0,0,0
37,702.324907,0,3600,140.2108922,3037.8859852,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,4991061.1572,10564064.5904811,0,10,0,0,0,0
38,631.629781,0,3600,140.2108922,3108.5811112,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,4955154.2424,10488064.1258014,0,10,0,0,0,0
39,477.337405,0,3600,140.2108922,3262.8734872,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,4919247.3276,10412063.6611217,0,10,0,0,0,0
