hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,2804505.11634949,8526.75158708429,3.20331657820337,10,0,0,0,0
2,0,0,0,2.01717421096006,0,0,0,2.01717421096006,0,0,0.145,0.435,15.196375621546,2803965.11634949,6906.75158708429,3.20331657820337,10,0,0,0,0
3,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,2803443.11634949,5340.75158708429,1.07997530350856,10,0,0,0,0
4,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2802903.11634949,3720.75158708429,1.07997530350856,10,0,0,0,0
5,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2802867.11634949,3612.75158708429,0.933537974219268,10,0,0,0,0
6,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,2802831.11634949,3504.75158708429,0.787100644929971,10,0,0,0,0
7,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2802291.11634949,1884.75158708429,0.787100644929971,10,0,0,0,0
8,6.723182,0,4.63645005762752,2.08673194237248,0,0,0,0,0,0.0113479546865009,0.15,0.45,15.7203885740132,2802255.11634949,1776.75158708429,0.640663315640674,10,0,0,0,0
9,435.537175,0,411.194482057628,2.08673194237248,0,22.255961,0,0,0,1.00642006098021,0.15,0.45,15.7203885740132,2801715.11634949,197.604223955695,0.640663315640674,10,0,0,0,0
10,634.747145,0,411.194482057628,2.08673194237248,0,221.465931,0,0,0,1.00642006098021,0.15,0.45,15.7203885740132,2801175.11634949,2200.71644348444,0.640663315640674,10,0,0,0,0
11,769.296847,0,411.194482057628,2.08673194237248,0,356.015633,0,0,0,1.00642006098021,0.15,0.45,15.7203885740132,2800635.11634949,4203.82866301319,0.640663315640674,10,0,0,0,0
12,802.24751,0,411.194482057628,2.08673194237248,0,388.966296,0,0,0,1.00642006098021,0.15,0.45,15.7203885740132,2800095.11634949,6206.94088254193,0.640663315640674,10,0,0,0,0
13,797.275098,0,411.194482057628,2.08673194237248,0,383.993884,0,0,0,1.00642006098021,0.15,0.45,15.7203885740132,2799555.11634949,8210.05310207068,0.640663315640674,10,0,0,0,0
14,727.208754,0,411.194482057628,2.08673194237248,0,308.532480499868,5.39505950013199,0,0,1.00642006098021,0.15,0.45,15.7203885740132,2799015.11634949,10213.1653215994,0.640663315640674,10,0,0,0,0
15,523.51582,0,411.194482057628,2.08673194237248,0,110.234606,0,0,0,1.00642006098021,0.15,0.45,15.7203885740132,2798475.11634949,12216.2775411282,5.76596984076606,10,0,0,0,0
16,306.28221,0,304.195478057628,2.08673194237248,0,0,0,0,0,0.744534386854333,0.15,0.45,15.7203885740132,2797935.11634949,14219.3897606569,5.76596984076606,10,0,0,0,0
17,49.723554,0,47.6368220576275,2.08673194237248,0,0,0,0,0,0.116593620420767,0.15,0.45,15.7203885740132,2797395.11634949,15279.7135533325,5.76596984076606,10,0,0,0,0
18,0,0,0,2.08673194237248,1.83867602678221,0,0,0.248055915590273,0,0,0.15,0.45,15.7203885740132,2796855.11634949,14079.4505868473,5.76596984076606,10,0,0,0,0
19,0,0,0,1.56044510113254,0,0,0,1.56044510113254,0,0,0.112169062262862,0.336507186788585,11.7556082983658,2796315.11634949,12459.4505868473,5.50485835067104,10,0,0,0,0
20,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,2795911.30772534,11248.0247144084,3.86228456000521,10,0,0,0,0
21,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2795371.30772534,9628.02471440837,3.86228456000521,10,0,0,0,0
22,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,2795335.30772534,9520.02471440837,3.71584723071591,10,0,0,0,0
23,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2794795.30772534,7900.02471440837,3.71584723071591,10,0,0,0,0
24,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2794759.30772534,7792.02471440837,3.56940990142661,10,0,0,0,0
25,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,2794723.30772534,7684.02471440837,3.42297257213732,10,0,0,0,0
26,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2794183.30772534,6064.02471440837,3.42297257213732,10,0,0,0,0
27,0,0,0,2.08673194237248,0,0,0,2.08673194237248,0,0,0.15,0.45,15.7203885740132,2794147.30772534,5956.02471440837,3.27653524284802,10,0,0,0,0
