hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1163048.41147607,842.648349473699,1.09827996966973,10,0,0,0,0
2,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1163012.41147607,734.648349473699,0.95184264038043,10,0,0,0,0
3,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1162976.41147607,626.648349473699,0.805405311091133,10,0,0,0,0
4,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1162940.41147607,518.648349473699,0.658967981801836,10,0,0,0,0
5,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1162904.41147607,410.648349473699,0.512530652512539,10,0,0,0,0
6,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1162868.41147607,302.648349473699,0.366093323223242,10,0,0,0,0
7,0,0,0,0.139115462824832,0.139115462824832,0,0,0,0,0,0.01,0.03,1.04802590493421,1162832.41147607,194.648349473699,0.219655993933945,10,0,0,0,0
8,6.723182,0,6.58406653717517,0.139115462824832,0,0,0,0,0,0.0161148481679113,0.01,0.03,1.04802590493421,1162796.41147607,86.648349473699,0.219655993933945,10,0,0,0,0
9,435.537175,0,120,1.40919385940789,0,314.127981140592,0,0,0,0.293706293706294,0.101296709279707,0.303890127839121,10.6161575409723,1162760.41147607,36.6618028781795,0.219655993933945,10,0,0,0,0
10,634.747145,0,120,1.36196956611724,0,511.535440748123,1.84973468575954,0,0,0.293706293706294,0.0979020979020979,0.293706293706294,10.2603934748804,1162395.74332267,0,0.219655993933945,10,0,0,0,0
11,769.296847,0,120,1.36196956611724,0,649.604262987781,0,1.66938555389798,0,0.293706293706294,0.0979020979020979,0.293706293706294,10.2603934748804,1162043.29577022,0,1.97690394540551,10,0,0,0,0
12,802.24751,0,120,1.36196956611724,0,679.035805748123,1.84973468575954,0,0,0.293706293706294,0.0979020979020979,0.293706293706294,10.2603934748804,1161690.84821777,0,0.219655993933945,10,0,0,0,0
13,797.275098,0,120,0.139115462824832,0,678.805368091073,0,1.66938555389798,0,0.293706293706294,0.01,0.03,1.04802590493421,1161338.40066532,0,1.97690394540551,10,0,0,0,0
14,727.208754,0,120,2.08673194237248,0,605.122022057628,0,0,0,0.293706293706294,0.15,0.45,15.7203885740132,1161302.40066532,949.342657342658,0.219655993933945,10,0,0,0,0
15,523.51582,0,120,1.55895425607968,0,400.107131058161,1.84973468575954,0,0,0.293706293706294,0.112061896242451,0.336185688727352,11.7443770218138,1160762.40066532,386.685314685315,0.219655993933945,10,0,0,0,0
16,306.28221,0,120,0.139115462824832,0,186.143094537175,0,0,0,0.293706293706294,0.01,0.03,1.04802590493421,1160358.97783885,233.759492609506,1.97690394540551,10,0,0,0,0
17,49.723554,0,49.5844385371752,0.139115462824832,0,0,0,0,0,0.121360513902177,0.01,0.03,1.04802590493421,1160322.97783885,1183.10214995216,1.97690394540551,10,0,0,0,0
18,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160286.97783885,1512,1.97690394540551,10,0,0,0,0
19,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160250.97783885,1404,1.83046661611621,10,0,0,0,0
20,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160214.97783885,1296,1.68402928682691,10,0,0,0,0
21,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160178.97783885,1188,1.53759195753762,10,0,0,0,0
22,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160142.97783885,1080,1.39115462824832,10,0,0,0,0
23,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160106.97783885,972,1.24471729895902,10,0,0,0,0
24,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160070.97783885,864,1.09827996966973,10,0,0,0,0
25,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1160034.97783885,756,0.95184264038043,10,0,0,0,0
26,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1159998.97783885,648,0.805405311091133,10,0,0,0,0
27,0,0,0,0.139115462824832,0.139115462824832,0,0,0,0,0,0.01,0.03,1.04802590493421,1159962.97783885,540,0.658967981801836,10,0,0,0,0
28,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1159926.97783885,432,0.658967981801836,10,0,0,0,0
29,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1159890.97783885,324,0.512530652512539,10,0,0,0,0
30,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,1159854.97783885,216,0.366093323223242,10,0,0,0,0
31,0,0,0,0.139115462824832,0.139115462824832,0,0,0,0,0,0.01,0.03,1.04802590493421,1159818.97783885,108,0.219655993933945,10,0,0,0,0
32,94.296789,0,94.1576735371752,0.139115462824832,0,0,0,0,0,0.230455844321757,0.01,0.03,1.04802590493421,1159782.97783885,0,0.219655993933945,10,0,0,0,0
33,367.670038,0,120,2.08673194237248,0,245.583306057628,0,0,0,0.293706293706294,0.15,0.45,15.7203885740132,1159746.97783885,721.641039558327,0.219655993933945,10,0,0,0,0
34,564.212493,0,120,1.56675744182079,0,440.79600087242,1.84973468575954,0,0,0.293706293706294,0.112622810578115,0.337868431734345,11.8031622972363,1159206.97783885,158.983696900984,0.219655993933945,10,0,0,0,0
