hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,140.210892199971,0,0,0,140.210892199971,0,0,9.97414299999985,29.9224289999995,1032.2685359998,25000000,25000000,5000,500,0,0,0,0
2,0,0,0,140.210892199999,0,0,0,140.210892199999,0,0,9.97414299999969,29.9224289999991,1032.268536,24964093.0852,24892279.2556,4852.40958715792,500,0,0,0,0
3,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,24928186.1704,24784558.5112,4704.81917431582,500,0,0,0,0
4,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,24892279.2556,24676837.7668,4557.22876147372,500,0,0,0,0
5,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,24856372.3408,24569117.0224,4409.63834863161,500,0,0,0,0
6,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414300000019,29.9224290000006,1032.268536,24820465.426,24461396.278,4262.0479357895,500,0,0,0,0
7,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,24784558.5112,24353675.5336,4114.4575229474,500,0,0,0,0
8,6.723182,0,0,140.2108922,0,0,0,133.4877102,0,0,9.97414300000019,29.9224290000006,1032.268536,24748651.5964,24245954.7892,3966.86711010529,500,0,0,0,0
9,435.537175,0,-5.57390324372266e-10,140.2108922,0,295.326282800557,0,0,0,-1.36424205265939e-12,9.97414300000008,29.9224290000002,1032.268536,24712744.6816,24138234.0448,3826.3537309474,500,0,0,0,0
10,634.747145,0,0,140.2108922,0,494.5362528,0,0,0,0,9.97414299999985,29.9224289999995,1032.268536,24676837.7668,24030513.3004,3826.3537309474,500,0,0,0,0
11,769.296847,0,0,140.2108922,0,0,629.0859548,0,0,0,9.97414299999985,29.9224289999995,1032.268536,24640930.852,23922792.556,3826.3537309474,500,0,0,0,0
12,802.24751,0,0,140.2108922,0,0,662.0366178,0,0,0,9.97414299999985,29.9224289999995,1032.268536,24605023.9372,23815071.8116,4423.9853880074,500,0,0,0,0
13,797.275098,0,0,140.2108922,0,0,657.0642058,0,0,0,9.97414300000019,29.9224290000006,1032.268536,24569117.0224,23707351.0672,5052.9201749174,500,0,0,0,0
14,727.208754,0,0,140.2108922,0,111.996231114162,475.001630685838,0,0,0,9.97414299999985,29.9224289999995,1032.268536,24533210.1076,23599630.3228,5677.1311704274,500,0,0,0,0
15,523.51582,0,0,140.2108922,0,383.3049278,0,0,0,0,9.97414299999985,29.9224289999995,1032.268536,24497303.1928,23491909.5784,6128.38271957895,500,0,0,0,0
16,306.28221,0,0,140.2108922,0,166.0713178,0,0,0,0,9.97414299999985,29.9224289999995,1032.268536,24461396.278,23384188.834,6128.38271957895,500,0,0,0,0
17,49.723554,0,0,140.2108922,0,0,0,90.4873382,0,0,9.97414300000019,29.9224290000006,1032.268536,24425489.3632,23276468.0896,6128.38271957895,500,0,0,0,0
18,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,24389582.4484,23168747.3452,6033.13288989473,500,0,0,0,0
19,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,24353675.5336,23061026.6008,5885.54247705263,500,0,0,0,0
20,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414300000019,29.9224290000006,1032.268536,24317768.6188,22953305.8564,5737.95206421052,500,0,0,0,0
21,0,0,0,140.210892199999,0,0,0,140.210892199999,0,0,9.97414300000019,29.9224290000006,1032.268536,24281861.704,22845585.112,5590.36165136842,500,0,0,0,0
22,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,24245954.7892,22737864.3676,5442.77123852631,500,0,0,0,0
23,0,0,0,140.210892199999,0,0,0,140.210892199999,0,0,9.97414299999985,29.9224289999995,1032.268536,24210047.8744,22630143.6232,5295.18082568421,500,0,0,0,0
24,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,24174140.9596,22522422.8788,5147.59041284211,500,0,0,0,0
