hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,1.34936662114282,1.26935300020276,0,0,0.0800136209400656,0,0,0.0969961637436297,0.290988491230889,10.1654492282564,2107522.20324747,3274.7059315598,1.20356104985402,10,0,0,0,0
2,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2107173.01705799,2227.1473631286,1.11933618570659,10,0,0,0,0
3,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2107137.01705799,2119.1473631286,0.972898856417289,10,0,0,0,0
4,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2107101.01705799,2011.1473631286,0.826461527127992,10,0,0,0,0
5,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2107065.01705799,1903.1473631286,0.680024197838695,10,0,0,0,0
6,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2107029.01705799,1795.1473631286,0.533586868549399,10,0,0,0,0
7,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2106993.01705799,1687.1473631286,0.387149539260102,10,0,0,0,0
8,6.723182,0,4.63645005762752,2.08673194237248,0,0,0,0,0,0.0113479546865009,0.15,0.45,15.7203885740132,2106957.01705799,1579.1473631286,0.240712209970805,10,0,0,0,0
9,435.537175,0,263.188240057627,2.08673194237248,0,170.262203,0,0,0,0.644167021120067,0.15,0.45,15.7203885740132,2106417.01705799,0,0.240712209970805,10,0,0,0,0
10,634.747145,0,263.188240057627,2.08673194237248,-5.6843418860808e-14,369.472173,2.40696351738734e-13,2.17381668221606e-13,0,0.644167021120067,0.15,0.45,15.7203885740132,2105877.01705799,699.00127603224,0.240712209970805,10,0,0,0,0
11,769.296847,0,263.188240057627,2.08673194237248,0,504.021875,0,0,0,0.644167021120067,0.15,0.45,15.7203885740132,2105337.01705799,1398.00255206448,0.240712209970805,10,0,0,0,0
12,802.24751,0,263.188240057627,2.08673194237248,1.13686837721616e-13,534.945487810773,2.02705018922783,0,0,0.644167021120067,0.15,0.45,15.7203885740132,2104797.01705799,2097.00382809672,0.240712209970805,10,0,0,0,0
13,797.275098,0,263.188240057627,2.08673194237248,5.6843418860808e-14,533.829538795778,0,1.82941279577812,0,0.644167021120067,0.15,0.45,15.7203885740132,2104257.01705799,2796.00510412896,2.16640988973724,10,0,0,0,0
14,727.208754,0,263.188240057627,2.08673194237248,0,459.906731810772,2.02705018922783,0,0,0.644167021120067,0.15,0.45,15.7203885740132,2103717.01705799,3495.0063801612,0.240712209970805,10,0,0,0,0
15,523.51582,0,263.188240057627,2.08673194237248,0,260.070260795778,0,1.82941279577812,0,0.644167021120067,0.15,0.45,15.7203885740132,2103177.01705799,4194.00765619344,2.16640988973724,10,0,0,0,0
16,306.28221,0,263.188240057627,2.08673194237248,0,38.9801878107725,2.02705018922783,0,0,0.644167021120067,0.15,0.45,15.7203885740132,2102637.01705799,4893.00893222568,0.240712209970805,10,0,0,0,0
17,49.723554,0,47.6368220576275,2.08673194237248,0,0,0,0,0,0.116593620420767,0.15,0.45,15.7203885740132,2102097.01705799,5592.01020825792,2.16640988973724,10,0,0,0,0
18,0,0,0,0.860747898496554,0.56160519379159,0,0,0.299142704704963,0,0,0.0618729134072155,0.185618740221646,6.4844416064513,2101557.01705799,4391.74724177268,2.16640988973724,10,0,0,0,0
19,0,0,0,0.139115462824832,0.139115462824832,0,0,0,0,0,0.01,0.03,1.04802590493421,2101334.27456972,3723.51977697475,1.85152283215307,10,0,0,0,0
20,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2101298.27456972,3615.51977697475,1.85152283215307,10,0,0,0,0
21,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2101262.27456972,3507.51977697475,1.70508550286377,10,0,0,0,0
22,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2101226.27456972,3399.51977697475,1.55864817357448,10,0,0,0,0
23,0,0,0,2.08673194237248,2.08673194237248,0,0,0,0,0,0.15,0.45,15.7203885740132,2101190.27456972,3291.51977697475,1.41221084428518,10,0,0,0,0
24,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2100650.27456972,1671.51977697475,1.41221084428518,10,0,0,0,0
25,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2100614.27456972,1563.51977697475,1.26577351499588,10,0,0,0,0
26,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2100578.27456972,1455.51977697475,1.11933618570659,10,0,0,0,0
27,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2100542.27456972,1347.51977697475,0.972898856417289,10,0,0,0,0
28,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2100506.27456972,1239.51977697475,0.826461527127992,10,0,0,0,0
29,0,0,0,0.139115462824832,0,0,0,0.139115462824832,0,0,0.01,0.03,1.04802590493421,2100470.27456972,1131.51977697475,0.680024197838695,10,0,0,0,0
