hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,6032361.68639999,18078192.6457322,4343.31018137895,10,0,0,0,0
2,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5996454.77159999,17970471.9013322,4195.71976853684,10,0,0,0,0
3,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5960547.85679999,17862751.1569322,4048.12935569474,10,0,0,0,0
4,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5924640.94199999,17755030.4125322,3900.53894285263,10,0,0,0,0
5,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.974143,29.922429,1032.268536,5888734.02719999,17647309.6681322,3752.94853001053,10,0,0,0,0
6,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,5852827.11239999,17539588.9237322,3605.35811716842,10,0,0,0,0
7,0,0,0,140.2108922,0,0,0,140.2108922,0,0,9.97414299999985,29.9224289999995,1032.268536,5816920.19759999,17431868.1793322,3457.76770432632,10,0,0,0,0
8,6.723182,0,0,140.2108922,0,0,0,133.4877102,0,0,9.97414299999985,29.9224289999995,1032.268536,5781013.2828,17324147.4349322,3310.17729148421,10,0,0,0,0
9,435.537175,0,0,140.2108922,0,0,295.3262828,0,0,0,9.97414299999985,29.9224289999995,1032.268536,5745106.368,17216426.6905322,3169.66391232632,10,0,0,0,0
10,634.747145,0,0,140.2108922,0,0,494.5362528,0,0,0,9.97414299999985,29.9224289999995,1032.268536,5709199.4532,17108705.9461322,3450.22388098632,10,0,0,0,0
11,769.296847,0,0,140.2108922,0,0,629.0859548,0,0,0,9.97414299999985,29.9224289999995,1032.268536,5673292.5384,17000985.2017322,3920.03332114632,10,0,0,0,0
12,802.24751,0,0,140.2108922,0,0,662.0366178,0,0,0,9.97414299999985,29.9224289999995,1032.268536,5637385.6236,16893264.4573322,4517.66497820632,10,0,0,0,0
13,797.275098,0,0,140.2108922,0,0,657.0642058,0,0,0,9.974143,29.922429,1032.268536,5601478.7088,16785543.7129322,5146.59976511632,10,0,0,0,0
14,727.208754,0,0,140.2108922,0,0,586.9978618,0,0,0,9.974143,29.922429,1032.268536,5565571.794,16677822.9685322,5770.81076062632,10,0,0,0,0
